Year,Winner,Finalist
1995,Ajax Amsterdam,AC Milan 
1996,Juventus,Ajax Amsterdam 
1997,Borussia Dortmund,Juventus 
1998,Real Madrid,Juventus 
1999,Manchester United,Bayern Munich 
2000,Real Madrid,Valence CF 
2001,Bayern Munich,Valence CF 
2002,Real Madrid,Bayer 04 Leverkusen 
2003,AC Milan,Juventus 
2004,FC Porto,AS Monaco 
2005,Liverpool FC,AC Milan 
2006,FC Barcelone,Arsenal FC 
2007,AC Milan,Liverpool FC 
2008,Manchester United,Chelsea FC 
2009,FC Barcelone,Manchester United 
2010,Inter Milan,Bayern Munich 
2011,FC Barcelone,Manchester United 
2012,Chelsea FC,Bayern Munich 
2013,Bayern Munich,Borussia Dortmund 
2014,Real Madrid,Atlético de Madrid 
2015,FC Barcelone,Juventus 
2016,Real Madrid,Atlético de Madrid 
2017,Real Madrid,Juventus 
2018,Real Madrid,Liverpool FC 
2019,Liverpool FC,Tottenham Hotspur 
2020,Bayern Munich,Paris Saint-Germain 
2021,Chelsea FC,Manchester City 
