Year,Winner
1995,Real Madrid 
1996,Atlético de Madrid 
1997,Real Madrid 
1998,FC Barcelone 
1999,FC Barcelone 
2000,Deportivo La Corogne 
2001,Real Madrid 
2002,Valence CF 
2003,Real Madrid 
2004,Valence CF 
2005,FC Barcelone 
2006,FC Barcelone 
2007,Real Madrid 
2008,Real Madrid 
2009,FC Barcelone 
2010,FC Barcelone 
2011,FC Barcelone 
2012,Real Madrid 
2013,FC Barcelone 
2014,Atlético de Madrid 
2015,FC Barcelone 
2016,FC Barcelone 
2017,Real Madrid 
2018,FC Barcelone  
2019,FC Barcelone  
2020,Real Madrid  
2021,Atlético de Madrid  
