Year,Winner
1995,Dortmund 
1996,Dortmund 
1997,Bayern Munich 
1998,FC Kaiserslautern 
1999,Bayern Munich 
2000,Bayern Munich 
2001,Bayern Munich 
2002,Dortmund 
2003,Bayern Munich 
2004,Werder Brême 
2005,Bayern Munich 
2006,Bayern Munich 
2007,VfB Stuttgart 
2008,Bayern Munich 
2009,Wolfsbourg 
2010,Bayern Munich 
2011,Dortmund 
2012,Dortmund 
2013,Bayern Munich 
2014,Bayern Munich 
2015,Bayern Munich 
2016,Bayern Munich 
2017,Bayern Munich 
2018,Bayern Munich 
2019,Bayern Munich 
2020,Bayern Munich 
2021,Bayern Munich
