Year,Winner,Finalist
1995,Ajax Amsterdam,Milan 
1996,Juventus,Ajax Amsterdam 
1997,Dortmund,Juventus 
1998,Real Madrid,Juventus 
1999,Manchester Utd,Bayern Munich 
2000,Real Madrid,Valencia 
2001,Bayern Munich,Valencia 
2002,Real Madrid,Bayer 04 Leverkusen 
2003,Milan,Juventus 
2004,FC Porto, Monaco 
2005,Liverpool,Milan 
2006,Barcelona,Arsenal FC 
2007,Milan,Liverpool 
2008,Manchester Utd,Chelsea 
2009,Barcelona,Manchester Utd 
2010,Internazionale,Bayern Munich 
2011,Barcelona,Manchester Utd 
2012,Chelsea,Bayern Munich 
2013,Bayern Munich,Dortmund 
2014,Real Madrid,Atlético Madrid 
2015,Barcelona,Juventus 
2016,Real Madrid,Atlético Madrid 
2017,Real Madrid,Juventus 
2018,Real Madrid,Liverpool 
2019,Liverpool,Tottenham
2020,Bayern Munich,Paris S-G
2021,Chelsea,Manchester City 
