Year,Winner
1995,Blackburn Rovers 
1996,Manchester Utd 
1997,Manchester Utd 
1998,Arsenal  
1999,Manchester Utd  
2000,Manchester Utd 
2001,Manchester Utd 
2002,Arsenal  
2003,Manchester Utd 
2004,Arsenal   
2005,Chelsea   
2006,Chelsea  
2007,Manchester Utd 
2008,Manchester Utd  
2009,Manchester Utd  
2010,Chelsea  
2011,Manchester Utd 
2012,Manchester City 
2013,Manchester Utd 
2014,Manchester City  
2015,Chelsea   
2016,Leicester City
2017,Chelsea  
2018,Manchester City  
2019,Manchester City  
2020,Liverpool  
2021,Manchester City  
