Rang,Nom,Pays,Club,Points,Pos 1,Pos 2,Pos 3,Pos 4,Pos 5,%
1,George Weah,Liberia,Paris Saint-Germain / Milan AC,144,20.0,6.0,3.0,4.0,3.0,0.19591836734693877
2,Jürgen Klinsmann,Allemagne,Tottenham / Bayern Munich,108,11.0,10.0,2.0,2.0,3.0,0.1469387755102041
3,Jari Litmanen,Finlande,Ajax Amsterdam,67,6.0,1.0,5.0,7.0,4.0,0.09115646258503401
4,Alessandro Del Piero,Italie,Juventus,57,2.0,6.0,4.0,4.0,3.0,0.07755102040816327
5,Patrick Kluivert,Pays-Bas,Ajax Amsterdam,47,3.0,3.0,5.0,2.0,1.0,0.06394557823129252
6,Gianfranco Zola,Italie,Parme AC,41,1.0,4.0,5.0,2.0,1.0,0.055782312925170066
7,Paolo Maldini,Italie,Milan AC,36,1.0,3.0,4.0,3.0,1.0,0.04897959183673469
8,Marc Overmars,Pays-Bas,Ajax Amsterdam,33,1.0,4.0,2.0,3.0,,0.044897959183673466
9,Matthias Sammer,Allemagne,Borussia Dortmund,18,,2.0,2.0,1.0,2.0,0.024489795918367346
10,Michael Laudrup,Danemark,Real Madrid,17,1.0,,3.0,,3.0,0.02312925170068027
11,Marcel Desailly,France,Milan AC,16,1.0,,2.0,2.0,1.0,0.021768707482993196
12,Frank Rijkaard,Pays-Bas,Ajax Amsterdam / Sans Club,15,1.0,1.0,1.0,1.0,1.0,0.02040816326530612
12,Fabrizio Ravanelli,Italie,Juventus,15,,,1.0,4.0,4.0,0.02040816326530612
14,Paulo Sousa,Portugal,Juventus,14,,2.0,,2.0,2.0,0.01904761904761905
14,Hristo Stoitchkov,Bulgarie,FC Barcelone / Parme AC,14,,1.0,1.0,2.0,3.0,0.01904761904761905
16,Dejan Savićević,Yougoslavie,Milan AC,12,,1.0,2.0,,2.0,0.0163265306122449
17,Davor Šuker,Croatie,Séville FC,10,,2.0,,,2.0,0.013605442176870748
18,Fernando Hierro,Espagne,Real Madrid,9,,1.0,1.0,,2.0,0.012244897959183673
19,Gianluca Vialli,Italie,Juventus,8,,,,4.0,,0.010884353741496598
20,Gabriel Batistuta,Argentine,AC Fiorentina,7,,,1.0,1.0,2.0,0.009523809523809525
21,Franco Baresi,Italie,Milan AC,6,1.0,,,,1.0,0.00816326530612245
21,Finidi George,Nigeria,Ajax Amsterdam,6,,,2.0,,,0.00816326530612245
23,Roberto Baggio,Italie,Juventus,5,,1.0,,,1.0,0.006802721088435374
23,Anthony Yeboah,Ghana,Eintracht Francfort / Leeds United,5,,1.0,,,1.0,0.006802721088435374
23,Zvonimir Boban,Croatie,Milan AC,5,,,1.0,1.0,,0.006802721088435374
26,Ronaldo,Brésil,PSV Eindhoven,4,,,,2.0,,0.005442176870748299
27,Juan Esnaider,Argentine,Real Saragosse / Real Madrid,3,,,1.0,,,0.004081632653061225
27,Iván Zamorano,Chili,Real Madrid,3,,,1.0,,,0.004081632653061225
27,Andreas Möller,Allemagne,Borussia Dortmund,3,,,,1.0,1.0,0.004081632653061225
30,Vítor Baía,Portugal,FC Porto,2,,,,1.0,,0.0027210884353741495
30,Bebeto,Brésil,Deportivo La Corogne,2,,,,,2.0,0.0027210884353741495
32,Luís Figo,Portugal,Sporting Portugal / FC Barcelone,1,,,,,1.0,0.0013605442176870747
32,Alan Shearer,Angleterre,Blackburn Rovers,1,,,,,1.0,0.0013605442176870747
32,Ian Wright,Angleterre,Arsenal Football Club,1,,,,,1.0,0.0013605442176870747
