Rang,Nom,Club,Sélection nationale,Points,%
1,Zinédine Zidane,Juventus,France,244,0.31895424836601305
2,Davor Šuker,Real Madrid,Croatie,68,0.08888888888888889
3,Ronaldo,Inter Milan,Brésil,66,0.08627450980392157
4,Michael Owen,Liverpool FC,Angleterre,51,0.06666666666666667
5,Rivaldo,FC Barcelone,Brésil,45,0.058823529411764705
6,Gabriel Batistuta,Fiorentina AC,Argentine,43,0.05620915032679739
7,Lilian Thuram,Parme FC,France,36,0.047058823529411764
8,Dennis Bergkamp,Arsenal FC,Pays-Bas,28,0.036601307189542485
8,Edgar Davids,Milan AC Juventus,Pays-Bas,28,0.036601307189542485
10,Marcel Desailly,Milan AC Chelsea FC,France,19,0.02483660130718954
11,Frank de Boer,Ajax Amsterdam,Pays-Bas,17,0.022222222222222223
12,Emmanuel Petit,Arsenal FC,France,16,0.02091503267973856
13,Roberto Carlos,Real Madrid,Brésil,13,0.01699346405228758
14,Fabien Barthez,AS Monaco,France,11,0.01437908496732026
14,Laurent Blanc,Olympique de Marseille,France,11,0.01437908496732026
16,Alessandro Del Piero,Juventus,Italie,10,0.013071895424836602
16,Predrag Mijatović,Real Madrid,RF Yougoslavie,10,0.013071895424836602
18,Oliver Bierhoff,Udinese Calcio Milan AC,Allemagne,9,0.011764705882352941
18,Didier Deschamps,Juventus,France,9,0.011764705882352941
20,Michael Laudrup,Ajax Amsterdam,Danemark,6,0.00784313725490196
21,Ronald de Boer,Ajax Amsterdam,Pays-Bas,4,0.00522875816993464
21,Raúl,Real Madrid,Espagne,4,0.00522875816993464
23,Brian Laudrup,Glasgow Rangers Chelsea FC,Danemark,3,0.00392156862745098
23,Marc Overmars,Arsenal FC,Pays-Bas,3,0.00392156862745098
23,Clarence Seedorf,Real Madrid,Pays-Bas,3,0.00392156862745098
26,Fernando Hierro,Real Madrid,Espagne,2,0.00261437908496732
26,Christian Vieri,Atlético Madrid Lazio Rome,Italie,2,0.00261437908496732
28,David Beckham,Manchester United,Angleterre,1,0.00130718954248366
28,Nikos Machlas,Vitesse Arnhem,Grèce,1,0.00130718954248366
28,Luis Enrique,FC Barcelone,Espagne,1,0.00130718954248366
28,Bixente Lizarazu,Bayern Munich,France,1,0.00130718954248366
