Rang,Nom,Sélection nationale,Club,Points,%
1,Rivaldo,Brésil,FC Barcelone,219,0.28627450980392155
2,David Beckham,Angleterre,Manchester United,154,0.20130718954248367
3,Andriy Chevtchenko,Ukraine,Dynamo Kiev / Milan AC,64,0.08366013071895424
4,Gabriel Batistuta,Argentine,AC Fiorentina,48,0.06274509803921569
5,Luís Figo,Portugal,FC Barcelone,38,0.04967320261437908
6,Roy Keane,République d'Irlande,Manchester United,36,0.047058823529411764
7,Christian Vieri,Italie,SS Lazio / Inter Milan,33,0.043137254901960784
8,Juan Sebastián Verón,Argentine,Parme FC / SS Lazio,30,0.0392156862745098
9,Raúl,Espagne,Real Madrid,27,0.03529411764705882
10,Lothar Matthäus,Allemagne,Bayern Munich,16,0.02091503267973856
11,Dwight Yorke,Trinité-et-Tobago,Manchester United,14,0.018300653594771243
12,Jaap Stam,Pays-Bas,Manchester United,13,0.01699346405228758
13,Siniša Mihajlović,RF Yougoslavie,SS Lazio,12,0.01568627450980392
14,Zlatko Zahovič,Slovénie,Porto / Olympiakos,9,0.011764705882352941
15,Pavel Nedvěd,Tchéquie,SS Lazio,8,0.01045751633986928
16,Mário Jardel,Brésil,Porto,7,0.009150326797385621
17,Peter Schmeichel,Danemark,Manchester United / Sporting Lisbona,6,0.00784313725490196
18,Stefan Effenberg,Allemagne,Bayern Munich,5,0.006535947712418301
19,Oliver Bierhoff,Allemagne,Milan AC,4,0.00522875816993464
19,Zinédine Zidane,France,Juventus de Turin,4,0.00522875816993464
21,Mario Basler,Allemagne,Bayern Munich / Kaiserslautern,3,0.00392156862745098
21,Ryan Giggs,Pays de Galles,Manchester United,3,0.00392156862745098
23,Hernán Crespo,Argentine,Parme FC,2,0.00261437908496732
23,Nwankwo Kanu,Nigeria,Arsenal FC,2,0.00261437908496732
23,Ronaldo,Brésil,Inter Milan,2,0.00261437908496732
26,Claudio López,Argentine,Valence CF,1,0.00130718954248366
26,Andy Cole,Angleterre,Manchester United,1,0.00130718954248366
26,Edgar Davids,Pays-Bas,Juventus de Turin,1,0.00130718954248366
26,David Ginola,France,Tottenham Hotspur,1,0.00130718954248366
26,Roberto Carlos,Brésil,Real Madrid,1,0.00130718954248366
26,Marcelo Salas,Chili,SS Lazio,1,0.00130718954248366
