Rang,Joueur,Nationalité,Club,Points,%
1,Ronaldinho,Brésil,Barcelone,225,0.28846153846153844
2,Frank Lampard,Angleterre,Chelsea,148,0.18974358974358974
3,Steven Gerrard,Angleterre,Liverpool FC,142,0.18205128205128204
4,Thierry Henry,France,Arsenal,41,0.052564102564102565
5,Andriy Chevtchenko,Ukraine,Milan,33,0.04230769230769231
6,Paolo Maldini,Italie,Milan,23,0.029487179487179487
7,Adriano,Brésil,Inter Milan,22,0.028205128205128206
8,Zlatan Ibrahimović,Suède,Juventus,21,0.026923076923076925
9,Kaká,Brésil,Milan,19,0.02435897435897436
10,Samuel Eto'o,Cameroun,Barcelone,18,0.023076923076923078
10,John Terry,Angleterre,Chelsea,18,0.023076923076923078
12,Juninho,Brésil,Lyon,15,0.019230769230769232
13,Claude Makélélé,France,Chelsea,8,0.010256410256410256
14,Michael Ballack,Allemagne,Bayern Munich,7,0.008974358974358974
14,Didier Drogba,Côte d'Ivoire,Chelsea,7,0.008974358974358974
14,Petr Cech,République tchèque,Chelsea,7,0.008974358974358974
14,Juan Román Riquelme,Argentine,Villarreal CF,7,0.008974358974358974
18,Zinédine Zidane,France,Real Madrid,5,0.00641025641025641
19,Gianluigi Buffon,Italie,Juventus,4,0.005128205128205128
20,Cristiano Ronaldo,Portugal,Manchester United,3,0.0038461538461538464
20,Jamie Carragher,Angleterre,Liverpool FC,3,0.0038461538461538464
22,Michael Essien,Ghana,Lyon Chelsea,2,0.002564102564102564
23,Luis Garcia,Espagne,Liverpool FC,1,0.001282051282051282
23,Pavel Nedvěd,République tchèque,Juventus,1,0.001282051282051282
