Rang,Nom,Club,Nationalité,Points
1,Fabio Cannavaro,Juventus Real Madrid,Italie,173
2,Gianluigi Buffon,Juventus,Italie,124
3,Thierry Henry,Arsenal,France,121
4,Ronaldinho,FC Barcelone,Brésil,73
5,Zinédine Zidane,Real Madrid Retraite,France,71
6,Samuel Eto'o,FC Barcelone,Cameroun,67
7,Miroslav Klose,Werder Brême,Allemagne,29
8,Didier Drogba,Chelsea,Côte d'Ivoire,25
9,Andrea Pirlo,Milan AC,Italie,17
10,Jens Lehmann,Arsenal,Allemagne,13
11,Deco,FC Barcelone,Portugal,11
11,Kaká,Milan AC,Brésil,11
13,Franck Ribéry,Olympique de Marseille,France,9
14,Cristiano Ronaldo,Manchester United,Portugal,5
14,Gennaro Gattuso,Milan AC,Italie,5
14,Patrick Vieira,Juventus Inter Milan,France,5
17,Frank Lampard,Chelsea,Angleterre,3
17,Lukas Podolski,FC Cologne Bayern Munich,Allemagne,3
17,Carles Puyol,FC Barcelone,Espagne,3
20,Juninho,Olympique lyonnais,Brésil,2
20,Lionel Messi,FC Barcelone,Argentine,2
20,John Terry,Chelsea,Angleterre,2
20,Luca Toni,Fiorentina,Italie,2
20,Gianluca Zambrotta,Juventus FC Barcelone,Italie,2
25,Philipp Lahm,Bayern Munich,Allemagne,1
25,David Villa,Valence CF,Espagne,1
