Rang[6],Nom,Club,Sélection nationale,Pourcentage[6]
1,Lionel Messi,FC Barcelone,Argentine,"22,65 %"
2,Andrés Iniesta,FC Barcelone,Espagne,"17,37 %"
3,Xavi,FC Barcelone,Espagne,"16,48 %"
4,Wesley Sneijder,Inter Milan,Pays-Bas,"14,48 %"
5,Diego Forlán,Atlético Madrid,Uruguay,"7,61 %"
6,Cristiano Ronaldo,Real Madrid,Portugal,"3,64 %"
7,Iker Casillas,Real Madrid,Espagne,"2,9 %"
8,David Villa,Valence CF FC Barcelone,Espagne,"2,25 %"
9,Didier Drogba,Chelsea FC,Côte d’Ivoire,"1,68 %"
10,Xabi Alonso,Real Madrid,Espagne,"1,52 %"
11,Carles Puyol,FC Barcelone,Espagne,"1,43 %"
12,Samuel Eto'o,Inter Milan,Cameroun,"1,37 %"
13,Mesut Özil,Werder Brême Real Madrid,Allemagne,"1,21 %"
14,Arjen Robben,Bayern Munich,Pays-Bas,"1,16 %"
15,Thomas Müller,Bayern Munich,Allemagne,"0,91 %"
16,Bastian Schweinsteiger,Bayern Munich,Allemagne,"0,75 %"
17,Douglas Maicon,Inter Milan,Brésil,"0,57 %"
18,Asamoah Gyan,Stade rennais Sunderland,Ghana,"0,46 %"
19,Júlio César,Inter Milan,Brésil,"0,22 %"
19,Cesc Fàbregas,Arsenal,Espagne,"0,22 %"
21,Miroslav Klose,Bayern Munich,Allemagne,"0,19 %"
22,Dani Alves,FC Barcelone,Brésil,"0,05 %"
22,Philipp Lahm,Bayern Munich,Allemagne,"0,05 %"
