Rang,Nom,Club,Sélection nationale,Pourcentage
1,Lionel Messi,FC Barcelone,Argentine,"47,88 %"
2,Cristiano Ronaldo,Real Madrid,Portugal,"21,60 %"
3,Xavi,FC Barcelone,Espagne,"9,23 %"
4,Andrés Iniesta,FC Barcelone,Espagne,"6,01 %"
5,Wayne Rooney,Manchester United,Angleterre,"2,31 %"
6,Luis Suárez,AFC Ajax Liverpool FC,Uruguay,"1,48 %"
7,Diego Forlán,Atlético Madrid Inter Milan,Uruguay,"1,43 %"
8,Samuel Eto'o,Inter Milan FK Anji Makhatchkala,Cameroun,"1,34 %"
9,Iker Casillas,Real Madrid,Espagne,"1,29 %"
10,Neymar,Santos,Brésil,"1,12 %"
0,Éric Abidal,FC Barcelone,France,
0,Xabi Alonso,Real Madrid,Espagne,
0,Dani Alves,FC Barcelone,Brésil,
0,Sergio Agüero,Atlético Madrid Manchester City,Argentine,
0,Karim Benzema,Real Madrid,France,
0,Cesc Fàbregas,Arsenal FC FC Barcelone,Espagne,
0,Thomas Müller,Bayern Munich,Allemagne,
0,Nani,Manchester United,Portugal,
0,Mesut Özil,Real Madrid,Allemagne,
0,Gerard Piqué,FC Barcelone,Espagne,
0,Bastian Schweinsteiger,Bayern Munich,Allemagne,
0,Wesley Sneijder,Inter Milan,Pays-Bas,
0,David Villa,FC Barcelone,Espagne,
