Unnamed: 0,Joueur,Club,Équipe nationale,Points,%
1,Lionel Messi,FC Barcelone,Argentine,1840,0.4112650871703174
2,Cristiano Ronaldo,Real Madrid,Portugal,1262,0.28207420652659815
3,Neymar,FC Barcelone,Brésil,336,0.07510058113544926
4,Robert Lewandowski,Bayern Munich,Pologne,188,0.04202056325435852
5,Luis Suárez,FC Barcelone,Uruguay,166,0.037103263299061245
6,Thomas Müller,Bayern Munich,Allemagne,97,0.02168082253017434
7,Manuel Neuer,Bayern Munich,Allemagne,86,0.019222172552525705
8,Eden Hazard,Chelsea,Belgique,62,0.013857845328565042
9,Andrés Iniesta,FC Barcelone,Espagne,55,0.012293249888243183
10,Alexis Sánchez,Arsenal,Chili,51,0.011399195350916406
11,Zlatan Ibrahimović,Paris Saint-Germain,Suède,47,0.01050514081358963
12,Yaya Touré,Manchester City,Côte d’Ivoire,38,0.008493518104604381
13,Sergio Agüero,Manchester City,Argentine,37,0.008270004470272686
14,Javier Mascherano,FC Barcelone,Argentine,35,0.007822977201609299
15,Paul Pogba,Juventus,France,32,0.007152436298614216
16,Gareth Bale,Real Madrid,Pays de Galles,29,0.006481895395619133
17,Arturo Vidal,Juventus Bayern Munich,Chili,26,0.00581135449262405
18,Kevin De Bruyne,VfL Wolfsbourg Manchester City,Belgique,21,0.004693786320965579
19,James Rodríguez,Real Madrid,Colombie,20,0.004470272686633884
20,Karim Benzema,Real Madrid,France,18,0.004023245417970496
21,Toni Kroos,Real Madrid,Allemagne,13,0.002905677246312025
21,Arjen Robben,Bayern Munich,Pays-Bas,13,0.002905677246312025
23,Ivan Rakitić,FC Barcelone,Croatie,2,0.0004470272686633885
