Rang,Joueur,Club,Sélection nationale,Points,%
1,Cristiano Ronaldo,Real Madrid,Portugal,946,0.3359375
2,Lionel Messi,FC Barcelone,Argentine,670,0.23792613636363635
3,Neymar,FC Barcelone Paris Saint-Germain,Brésil,361,0.12819602272727273
4,Gianluigi Buffon,Juventus FC,Italie,221,0.07848011363636363
5,Luka Modrić,Real Madrid,Croatie,84,0.029829545454545456
6,Sergio Ramos,Real Madrid,Espagne,71,0.02521306818181818
7,Kylian Mbappé,AS Monaco Paris Saint-Germain,France,48,0.017045454545454544
8,N'Golo Kanté,Chelsea FC,France,47,0.016690340909090908
9,Robert Lewandowski,Bayern Munich,Pologne,45,0.015980113636363636
10,Harry Kane,Tottenham Hotspur,Angleterre,36,0.01278409090909091
11,Edinson Cavani,Paris Saint-Germain,Uruguay,32,0.011363636363636364
12,Isco,Real Madrid,Espagne,28,0.009943181818181818
13,Luis Suárez,FC Barcelone,Uruguay,27,0.009588068181818182
14,Kevin De Bruyne,Manchester City,Belgique,25,0.00887784090909091
15,Paulo Dybala,Juventus FC,Argentine,23,0.008167613636363636
16,Marcelo,Real Madrid,Brésil,21,0.007457386363636364
17,Toni Kroos,Real Madrid,Allemagne,20,0.007102272727272727
18,Antoine Griezmann,Atlético Madrid,France,17,0.006036931818181818
19,Eden Hazard,Chelsea FC,Belgique,16,0.005681818181818182
20,David de Gea,Manchester United,Espagne,15,0.005326704545454545
21,Pierre-Emerick Aubameyang,Borussia Dortmund,Gabon,14,0.004971590909090909
21,Leonardo Bonucci,Juventus FC AC Milan,Italie,14,0.004971590909090909
23,Sadio Mané,Liverpool FC,Sénégal,10,0.0035511363636363635
24,Radamel Falcao,AS Monaco,Colombie,9,0.0031960227272727275
25,Karim Benzema,Real Madrid,France,7,0.0024857954545454545
26,Jan Oblak,Atlético Madrid,Slovénie,4,0.0014204545454545455
27,Mats Hummels,Bayern Munich,Allemagne,3,0.001065340909090909
28,Edin Džeko,AS Roma,Bosnie-Herzégovine,2,0.0007102272727272727
29,Philippe Coutinho,Liverpool FC,Brésil,0,0.0
29,Dries Mertens,SSC Naples,Belgique,0,0.0
