Rang,Joueur,Club,Sélection nationale,Poste,Points,%
1,Luka Modrić,Real Madrid,Croatie,Milieu de terrain,753,0.26145833333333335
2,Cristiano Ronaldo,Real Madrid Juventus FC,Portugal,Attaquant,476,0.16527777777777777
3,Antoine Griezmann,Atlético de Madrid,France,Attaquant,414,0.14375
4,Kylian Mbappé,Paris Saint-Germain,France,Attaquant,347,0.12048611111111111
5,Lionel Messi,FC Barcelone,Argentine,Attaquant,280,0.09722222222222222
6,Mohamed Salah,Liverpool FC,Égypte,Attaquant,188,0.06527777777777778
7,Raphaël Varane,Real Madrid,France,Défenseur,121,0.04201388888888889
8,Eden Hazard,Chelsea FC,Belgique,Milieu de terrain Attaquant,119,0.04131944444444444
9,Kevin De Bruyne,Manchester City,Belgique,Milieu de terrain,29,0.010069444444444445
10,Harry Kane,Tottenham Hotspur,Angleterre,Attaquant,25,0.008680555555555556
11,N'Golo Kanté,Chelsea FC,France,Milieu de terrain,24,0.008333333333333333
12,Neymar,Paris Saint-Germain,Brésil,Attaquant,19,0.006597222222222222
13,Luis Suárez,FC Barcelone,Uruguay,Attaquant,17,0.005902777777777778
14,Thibaut Courtois,Chelsea FC Real Madrid,Belgique,Gardien de but,12,0.004166666666666667
15,Paul Pogba,Manchester United,France,Milieu de terrain,9,0.003125
16,Sergio Agüero,Manchester City,Argentine,Attaquant,7,0.0024305555555555556
17,Gareth Bale,Real Madrid,Pays de Galles,Attaquant,6,0.0020833333333333333
17,Karim Benzema,Real Madrid,France,Attaquant,6,0.0020833333333333333
19,Roberto Firmino,Liverpool FC,Brésil,Attaquant,4,0.001388888888888889
19,Ivan Rakitić,FC Barcelone,Croatie,Milieu de terrain,4,0.001388888888888889
19,Sergio Ramos,Real Madrid,Espagne,Défenseur,4,0.001388888888888889
22,Edinson Cavani,Paris Saint-Germain,Uruguay,Attaquant,3,0.0010416666666666667
22,Sadio Mané,Liverpool FC,Sénégal,Attaquant,3,0.0010416666666666667
22,Marcelo,Real Madrid,Brésil,Défenseur,3,0.0010416666666666667
25,Alisson,AS Rome Liverpool FC,Brésil,Gardien de but,2,0.0006944444444444445
25,Mario Mandžukić,Juventus FC,Croatie,Attaquant,2,0.0006944444444444445
25,Jan Oblak,Atlético de Madrid,Slovénie,Gardien de but,2,0.0006944444444444445
28,Diego Godín,Atlético de Madrid,Uruguay,Défenseur,1,0.00034722222222222224
29,Isco,Real Madrid,Espagne,Milieu de terrain,0,0.0
29,Hugo Lloris,Tottenham Hotspur,France,Gardien de but,0,0.0
