Year, Winner
1995,FC Nantes
1996,AJ Auxerre
1997,AS Monaco FC
1998,RC Lens
1999,FC Girondins de Bordeaux
2000,AS Monaco FC
2001,FC Nantes
2002,Olympique lyonnais
2003,Olympique lyonnais
2004,Olympique lyonnais
2005,Olympique lyonnais
2006,Olympique lyonnais
2007,Olympique lyonnais
2008,Olympique lyonnais
2009,FC Girondins de Bordeaux
2010,Olympique de Marseille
2011,LOSC Lille
2012,Montpellier HSC
2013,Paris Saint-Germain FC
2014,Paris Saint-Germain FC
2015,Paris Saint-Germain FC
2016,Paris Saint-Germain FC
2017,AS Monaco FC
2018,Paris Saint-Germain FC
2019,Paris Saint-Germain FC
2020,Paris Saint-Germain FC
2021,LOSC Lille
